nombreEscuela,seccionEscuela
COLEGIO 3 - MARIANO MORENO,5°3°
COLEGIO 4 - NICOLAS AVELLANEDA,5°3°
COLEGIO 4 - NICOLAS AVELLANEDA,5°3°
COLEGIO 6 - MANUEL BELGRANO,5°3°
COLEGIO 7 - J. M. PUEYRREDON,5°3°
COLEGIO 7 - J. M. PUEYRREDON,5°3°
COLEGIO 7 - J. M. PUEYRREDON,5°3°
COLEGIO 8 - JULIO ROCA,5°3°
COLEGIO 9 - JUSTO J. URQUIZA,5°3°
COLEGIO 9 - JUSTO J. URQUIZA,5°3°
COLEGIO 11 - HIPOLITO YRIGOYEN,5°3°
COLEGIO 12 - RECONQUISTA,5°3°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°3°
COLEGIO 14 - JUAN JOSE PASO,5°3°
COLEGIO 15 - REVOLUCION DE MAYO,5°3°
COLEGIO 17 - PRIMERA JUNTA,5°3°
COLEGIO 18 - DR. A. LARROQUE,5°3°
COLEGIO 19 - LUIS PASTEUR,5°3°
LICEO 1 - J. FIGUEROA ALCORTA,5°3°
LICEO 1 - J. FIGUEROA ALCORTA,5°3°
LICEO 2 - AMANCIO ALCORTA,5°3°
LICEO 4 - R.E. SAN MARTIN,5°3°
LICEO 9 - SANTIAGO DERQUI,5°3°
LICEO 9 - SANTIAGO DERQUI,5°3°
LICEO 12 - FRAY M.ESQUIU,5°3°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°3°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°3°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°3°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°3°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°3°
ESC. DE COMERCIO 4 - B. FERNANDEZ MORENO,5°3°
ESC. DE COMERCIO 5 - JOSE DE SAN MARTIN,5°3°
ESC. DE COMERCIO 6 - AMERICA,5°3°
ESC. DE COMERCIO 7 - MANUEL BELGRANO,5°3°
ESC. DE COMERCIO 8 - PATRICIAS ARGENTINAS,5°3°
ESC. DE COMERCIO 12 - JUAN XXIII,5°3°
ESC. DE COMERCIO 12 - JUAN XXIII,5°3°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°3°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°3°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°3°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°3°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°3°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°3°
ESC. DE COMERCIO 20 - DR. J.A. GARCIA,5°3°
ESC. DE COMERCIO 22 - G.M. ZUVIRIA,5°3°
ESC. DE COMERCIO 23 - DR. LUIS AGOTE,5°3°
ESC. DE COMERCIO 25 - SGO. DE LINIERS,5°3°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°3°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°3°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°3°
ESC. DE COMERCIO 35 - L. MARECHAL,5°3°
EEM 1 - D.E. 12 - JULIO CORTAZAR,5°3°
EEM 1 - D.E. 14 - FEDERICO GARCIA LORCA,5°3°
EEM 1 - D.E. 16 - RODOLFO WALSH,5°3°
EEM 1 - D.E. 21,5°3°
EEM 2 - D.E. 16 - AGUSTIN TOSCO,5°3°
EEM 2 - D.E. 17 - RUMANIA,5°3°
EEM 2 - D.E. 20,5°3°
EEM 3 - D.E. 17 - ANTONIO DEVOTO,5°3°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°3°
EEM 4 - D.E. 19 - HOMERO MANZI,5°3°
EEM 5 - D.E. 10 - HEROES DE MALVINAS,5°3°
EEM 5 - D.E. 15 - MONSEÑOR ENRIQUE ANGELELLI,5°3°
EEM 5 - D.E. 15 - MONSEÑOR ENRIQUE ANGELELLI,5°3°
EEM 7 - D.E. 9 - MARIA CLAUDIA FALCONE,5°3°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°4°
COLEGIO 3 - MARIANO MORENO,5°4°
COLEGIO 4 - NICOLAS AVELLANEDA,5°4°
COLEGIO 4 - NICOLAS AVELLANEDA,5°4°
COLEGIO 8 - JULIO ROCA,5°4°
COLEGIO 9 - JUSTO J. URQUIZA,5°4°
COLEGIO 9 - JUSTO J. URQUIZA,5°4°
COLEGIO 11 - HIPOLITO YRIGOYEN,5°4°
COLEGIO 12 - RECONQUISTA,5°4°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°4°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°4°
COLEGIO 14 - JUAN JOSE PASO,5°4°
COLEGIO 15 - REVOLUCION DE MAYO,5°4°
COLEGIO 17 - PRIMERA JUNTA,5°4°
COLEGIO 19 - LUIS PASTEUR,5°4°
LICEO 2 - AMANCIO ALCORTA,5°4°
LICEO 4 - R.E. SAN MARTIN,5°4°
LICEO 12 - FRAY M.ESQUIU,5°4°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°4°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°4°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°4°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°4°
ESC. DE COMERCIO 4 - B. FERNANDEZ MORENO,5°4°
ESC. DE COMERCIO 5 - JOSE DE SAN MARTIN,5°4°
ESC. DE COMERCIO 6 - AMERICA,5°4°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°4°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°4°
ESC. DE COMERCIO 22 - G.M. ZUVIRIA,5°4°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°4°
ESC. DE COMERCIO 35 - L. MARECHAL,5°4°
EEM 1 - D.E. 12 - JULIO CORTAZAR,5°4°
EEM 2 - D.E. 17 - RUMANIA,5°4°
EEM 2 - D.E. 20,5°4°
EEM 3 - D.E. 17 - ANTONIO DEVOTO,5°4°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°4°
EEM 4 - D.E. 19 - HOMERO MANZI,5°4°
EEM 7 - D.E. 9 - MARIA CLAUDIA FALCONE,5°4°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°5°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°5°
COLEGIO 8 - JULIO ROCA,5°5°
COLEGIO 19 - LUIS PASTEUR,5°5°
LICEO 2 - AMANCIO ALCORTA,5°5°
LICEO 4 - R.E. SAN MARTIN,5°5°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°5°
ESC. DE COMERCIO 5 - JOSE DE SAN MARTIN,5°5°
ESC. DE COMERCIO 6 - AMERICA,5°5°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°5°
COLEGIO 3 - MARIANO MORENO,5°6°
COLEGIO 19 - LUIS PASTEUR,5°6°
LICEO 4 - R.E. SAN MARTIN,5°6°
ESC. DE COMERCIO 6 - AMERICA,5°6°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°6°
COLEGIO 3 - MARIANO MORENO,5°7°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°7°
COLEGIO 3 - MARIANO MORENO,5°8°
COLEGIO 3 - MARIANO MORENO,5°9°
EEM 1 - D.E. 20 - BIBLIOTECA DEL CONGRESO,5°A
EEM 1 - D.E. 21,5°A
EEM 4 - D.E. 21,5°A
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°A
EEM 6 - D.E. 5,5°A
EEM 1 - D.E. 20 - BIBLIOTECA DEL CONGRESO,5°B
EEM 1 - D.E. 21,5°B
EEM 4 - D.E. 21,5°B
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°B
EEM 6 - D.E. 5,5°B
EEM 1 - D.E. 20 - BIBLIOTECA DEL CONGRESO,5°C
EEM 1 - D.E. 21,5°C
