nombreEscuela,seccionEscuela
Esc. de Educación Media Nº 03 DE 07 Osvaldo Pugliese,5°1° TM
Esc. de Educación Media Nº 03 DE 07 Osvaldo Pugliese,5°2° TM
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°1° TM
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°2° TM
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°3° TT
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°4° TT
Esc. de Educación Media Nº 04 DE 21,5°A TV
Esc. de Educación Media Nº 04 DE 21,5°B TV
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°1° TM
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°2° TM
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°3° TT
Esc. de Educación Media Nº 05 DE 15 Mons. Enrique Angelelli,5°3° TM
Esc. de Educación Media Nº 05 DE 15 Mons. Enrique Angelelli,5°3° TT
Esc. de Educación Media Nº 05 DE 19,5°1° TT
Esc. de Educación Media Nº 05 DE 19,5°2° TT
Esc. de Educación Media Nº 05 DE 21 Juan Manuel Fangio,5°1° TN/V
Esc. de Educación Media Nº 05 DE 21 Juan Manuel Fangio,5°2° TN/V
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°1° TN/V
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°1° TN/V
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°A TM
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°B TM
Esc. de Educación Media Nº 06 DE 19,5°1° TN/V
Esc. de Educación Media Nº 06 DE 19,5°2° TN/V
Esc. dE Educación Media Nº 06 DE 05,5°1° TT
Esc. dE Educación Media Nº 06 DE 05,5°2° TT
Esc. dE Educación Media Nº 06 DE 05,5°A TM
Esc. dE Educación Media Nº 06 DE 05,5°B TM
Esc. de Educación Media Nº 07 DE 04 Escuela De La Ribera,5°1° TN/V
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°1° TM
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°2° TT
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°3° TM
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°4° TT
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°1° TM
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°2° TM
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°3° TM
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°4° TM
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°5° JC
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°1° TM
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°2° TM
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°5° TM
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°7° TM
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°3° TT
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°4° TT
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°6° TT
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°1° TM
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°2° TM
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°3° TM
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°4° JC
ENS Nº 03 Bernardino Rivadavia DE 04,5°1° TM
ENS Nº 03 Bernardino Rivadavia DE 04,5°2° TM
ENS Nº 03 Bernardino Rivadavia DE 04,5°3° TM
ENS Nº 03 Bernardino Rivadavia DE 04,5°4° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°1° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°2° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°3° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°4° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°5° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°6° TM
ENS Nº 04 Estanislao S. Zeballos DE 08,5°7° TM
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°1° TM
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°2° TM
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°3° TM
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°4° TM
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°5° TM
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°1° TM
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°2° TM
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°3° TM
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°4° TM
ENS Nº 07 José María Torres DE 02,5°1° TM
ENS Nº 07 José María Torres DE 02,5°2° TM
ENS Nº 07 José María Torres DE 02,5°3° TM
ENS Nº 07 José María Torres DE 02,5°4° TM
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°1° TM
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°2° TM
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°3° TM
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°4° TT
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°5°.TT
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°1° TM
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°2° TM
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°3° TM
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°4° TM
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°5° TT
ENS Nº 10 Juan Bautista Alberdi DE 10,5°1° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°2° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°3° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°4° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°5° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°6° TM
ENS Nº 10 Juan Bautista Alberdi DE 10,5°7° TM
ENS Nº 11 Dr. Ricardo Levene DE 06,5°1° TM
ENS Nº 11 Dr. Ricardo Levene DE 06,5°2°.TM
ENS Nº 11 Dr. Ricardo Levene DE 06,5°3° TT
ENS Nº 11 Dr. Ricardo Levene DE 06,5°4° TT
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,PLAN 5810
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°1° TM
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°1° TT
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°2° TM
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°3° TM
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°4° TM
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°4° TT
Esc. de Comercio Nº 10 DE 01 Islas Malvinas,PLAN 5810
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,PLAN 5810
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TM
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TT
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TM
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TT
Esc. de Comercio Nº 12 DE 21 Juan XXIII,PLAN 5810
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TM
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TT
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TM
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TT
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TM
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TT
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TM
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TT
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TM
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TT
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TM
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TT
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TM
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TT
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TM
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TT
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TM
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TT
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TM
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TT
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TN/V
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TM
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TT
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TM
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TT
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TM
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TT
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°1° TM
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TM
