nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Esc. de Comercio Nº 06 DE 13 América,5°4° TM,Economía y Administración,31
Esc. de Comercio Nº 06 DE 13 América,5°5° TM,Economía y Administración,31
Esc. de Comercio Nº 06 DE 13 América,5°6° TT,Economía y Administración,29
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°1° TM,Economía y Administración,25
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°1° TT,Economía y Administración,25
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°2° TM,Economía y Administración,22
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°2° TT,Turismo,13
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°3° TM,Turismo,22
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°1° TT,Economía y Administración,25
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°2° TT,Economía y Administración,23
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°4° TT,Cs. Soc y Humanidades,29
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°1° TM,Economía y Administración,27
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°1° TT,Economía y Administración,19
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°2° TT,Economía y Administración,22
Esc. de Comercio Nº 09 DE 11 José Ingenieros,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 10 DE 01 Islas Malvinas,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TM,Turismo,28
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TT,Economía y Administración,23
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TM,Economía y Administración,28
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TT,Turismo,21
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TM,Economía y Administración,22
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TT,Economía y Administración,29
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TM,Economía y Administración,31
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TM,Economía y Administración,29
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TT,Economía y Administración,28
Esc. de Comercio Nº 12 DE 21 Juan XXIII,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TM,Economía y Administración,20
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TT,Economía y Administración,20
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TM,Economía y Administración,17
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TM,Cs. Soc y Humanidades,23
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TT,Cs. Soc y Humanidades,10
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TM,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TT,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TM,Economía y Administración,26
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TM,Economía y Administración,5
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TT,Economía y Administración,2
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TM,Economía y Administración,27
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TT,Economía y Administración,22
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TM,Economía y Administración,26
